,a,between,in,nor,some,upon,about,both,including,nothing,somebody,us,above,but,inside,of,someone,used,after,by,into,off,something,via,all,can,is,on,such,we,although,cos,it,once,than,what,am,do,its,one,that,whatever,among,down,latter,onto,the,when,an,each,less,opposite,their,where,and,either,like,or,them,whether,another,enough,little,our,these,which,any,every,lots,outside,they,while,anybody,everybody,many,over,this,who,anyone,everyone,me,own,those,whoever,anything,everything,more,past,though,whom,are,few,most,per,through,whose,around,following,much,plenty,till,will,as,for,must,plus,to,with,at,from,my,regarding,toward,within,be,have,near,same,towards,without,because,he,need,several,under,worth,before,her,neither,she,unless,would,behind,him,no,should,unlike,yes,below,i,nobody,since,until,you,beside,if,none,so,up,your,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,word count,avg word length,avg sentence length - words,avg sentence length - chars,char count,uchar count,achar count,dig count,ws count,schar count,sword count,bword count,filename
0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,1.0,0.0,20.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,39.0,86.0,83.0,314.0,60.0,67.0,96.0,190.0,4.0,7.0,146.0,55.0,194.0,183.0,62.0,8.0,177.0,190.0,225.0,102.0,26.0,52.0,3.0,43.0,2.0,478.0,5.548117154811716,22.761904761904763,126.28571428571429,3235.0,38.0,2652.0,22.0,485.0,561.0,216.0,262.0,aa_quillbot.txt
1,20.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,49.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,12.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,199.0,54.0,96.0,102.0,290.0,25.0,52.0,99.0,136.0,0.0,1.0,77.0,40.0,171.0,133.0,28.0,11.0,119.0,138.0,198.0,57.0,22.0,21.0,10.0,36.0,2.0,435.0,4.866666666666666,17.4,84.68,2619.0,31.0,2117.0,0.0,442.0,502.0,236.0,199.0,b_quillbot.txt
2,11.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,21.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,17.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,153.0,33.0,87.0,94.0,273.0,60.0,36.0,104.0,156.0,4.0,30.0,125.0,45.0,129.0,130.0,32.0,2.0,154.0,146.0,180.0,69.0,24.0,31.0,3.0,62.0,4.0,460.0,4.71304347826087,17.037037037037038,80.22222222222223,2709.0,79.0,2166.0,2.0,463.0,539.0,265.0,195.0,bb_quillbot.txt
3,7.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,1.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,15.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,199.0,26.0,98.0,100.0,328.0,61.0,33.0,134.0,203.0,1.0,15.0,118.0,53.0,158.0,186.0,73.0,5.0,137.0,228.0,240.0,70.0,24.0,45.0,4.0,31.0,4.0,483.0,5.329192546583851,21.954545454545453,117.0,3131.0,26.0,2574.0,7.0,488.0,550.0,231.0,252.0,c_quillbot.txt
4,16.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,3.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,28.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,3.0,0.0,0.0,21.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,216.0,37.0,73.0,81.0,289.0,67.0,44.0,86.0,216.0,3.0,11.0,86.0,60.0,169.0,173.0,49.0,1.0,153.0,202.0,221.0,65.0,27.0,35.0,7.0,44.0,0.0,495.0,4.878787878787879,23.571428571428573,115.0,3014.0,42.0,2415.0,5.0,505.0,594.0,274.0,221.0,cc_quillbot.txt
5,11.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,12.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,17.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,174.0,29.0,60.0,103.0,306.0,43.0,44.0,123.0,152.0,1.0,10.0,93.0,49.0,176.0,173.0,58.0,5.0,151.0,138.0,223.0,64.0,32.0,39.0,3.0,32.0,2.0,451.0,5.062084257206209,25.055555555555557,126.83333333333333,2814.0,39.0,2283.0,4.0,456.0,527.0,242.0,209.0,d_quillbot.txt
6,8.0,0.0,6.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,7.0,3.0,0.0,1.0,0.0,0.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,16.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,22.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,182.0,28.0,62.0,72.0,269.0,36.0,36.0,122.0,162.0,3.0,13.0,76.0,58.0,142.0,152.0,48.0,2.0,129.0,163.0,227.0,62.0,32.0,20.0,6.0,25.0,1.0,455.0,4.676923076923077,16.85185185185185,78.81481481481481,2670.0,39.0,2128.0,8.0,468.0,534.0,271.0,184.0,dd_quillbot.txt
7,8.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,15.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,186.0,32.0,107.0,79.0,302.0,54.0,47.0,101.0,176.0,3.0,5.0,98.0,78.0,205.0,182.0,60.0,3.0,150.0,124.0,214.0,51.0,30.0,41.0,4.0,45.0,0.0,454.0,5.23568281938326,26.705882352941178,139.8235294117647,2966.0,46.0,2377.0,59.0,475.0,530.0,229.0,225.0,e_quillbot.txt
8,9.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,14.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,6.0,1.0,2.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,12.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,153.0,26.0,67.0,87.0,269.0,51.0,51.0,121.0,176.0,3.0,26.0,66.0,56.0,180.0,179.0,33.0,3.0,124.0,148.0,202.0,81.0,38.0,34.0,2.0,44.0,1.0,453.0,4.902869757174393,25.166666666666668,123.38888888888889,2773.0,74.0,2221.0,10.0,461.0,542.0,245.0,208.0,f_quillbot.txt
9,7.0,1.0,15.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,17.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,3.0,0.0,0.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,166.0,49.0,77.0,82.0,309.0,47.0,42.0,122.0,188.0,12.0,13.0,99.0,47.0,166.0,142.0,41.0,2.0,126.0,161.0,246.0,79.0,32.0,30.0,4.0,29.0,2.0,465.0,4.974193548387097,21.136363636363637,105.13636363636364,2855.0,69.0,2313.0,9.0,474.0,533.0,253.0,212.0,ff_quillbot.txt
