,a,between,in,nor,some,upon,about,both,including,nothing,somebody,us,above,but,inside,of,someone,used,after,by,into,off,something,via,all,can,is,on,such,we,although,cos,it,once,than,what,am,do,its,one,that,whatever,among,down,latter,onto,the,when,an,each,less,opposite,their,where,and,either,like,or,them,whether,another,enough,little,our,these,which,any,every,lots,outside,they,while,anybody,everybody,many,over,this,who,anyone,everyone,me,own,those,whoever,anything,everything,more,past,though,whom,are,few,most,per,through,whose,around,following,much,plenty,till,will,as,for,must,plus,to,with,at,from,my,regarding,toward,within,be,have,near,same,towards,without,because,he,need,several,under,worth,before,her,neither,she,unless,would,behind,him,no,should,unlike,yes,below,i,nobody,since,until,you,beside,if,none,so,up,your,avg sentence length - words,avg sentence length - chars,char count,schar count,bword count,avg word length,sentence count,wuw ratio,fres,gfri,filename
0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,1.0,0.0,20.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.761904761904763,126.28571428571429,3235.0,561.0,262.0,5.548117154811716,21.0,1.959016393442623,99.13166666666669,9.104761904761906,aa_quillbot.txt
1,20.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,49.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,12.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,17.4,84.68,2619.0,502.0,199.0,4.866666666666666,25.0,2.457627118644068,19.974000000000018,6.96,b_quillbot.txt
2,11.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,21.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,17.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,17.037037037037038,80.22222222222223,2709.0,539.0,195.0,4.71304347826087,27.0,1.9246861924686192,104.94240740740742,6.814814814814816,bb_quillbot.txt
3,7.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,1.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,15.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,21.954545454545453,117.0,3131.0,550.0,252.0,5.329192546583851,22.0,1.9090909090909092,15.351136363636385,8.781818181818181,c_quillbot.txt
4,16.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,3.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,28.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,3.0,0.0,0.0,21.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,23.571428571428573,115.0,3014.0,594.0,221.0,4.878787878787879,21.0,1.875,98.31,9.428571428571429,cc_quillbot.txt
5,11.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,12.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,17.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,25.055555555555557,126.83333333333333,2814.0,527.0,209.0,5.062084257206209,18.0,1.7826086956521738,96.80361111111111,10.022222222222224,d_quillbot.txt
6,8.0,0.0,6.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,7.0,3.0,0.0,1.0,0.0,0.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,16.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,22.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,16.85185185185185,78.81481481481481,2670.0,534.0,184.0,4.676923076923077,27.0,1.8346774193548387,105.1303703703704,6.7407407407407405,dd_quillbot.txt
7,8.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,15.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,26.705882352941178,139.8235294117647,2966.0,530.0,225.0,5.23568281938326,17.0,1.9484978540772533,95.12852941176473,10.682352941176472,e_quillbot.txt
8,9.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,14.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,6.0,1.0,2.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,12.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,25.166666666666668,123.38888888888889,2773.0,542.0,208.0,4.902869757174393,18.0,1.8266129032258065,12.090833333333364,10.066666666666668,f_quillbot.txt
9,7.0,1.0,15.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,17.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,3.0,0.0,0.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.136363636363637,105.13636363636364,2855.0,533.0,212.0,4.974193548387097,22.0,1.9135802469135803,100.78159090909091,8.454545454545455,ff_quillbot.txt
